epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,7933.53,1.12486,0.94281,1.26088,0.95889,0.8443,0.93232,0.61271,1.19164,0.65304,1.40547,0.0007922,0.0007922,0.0007922
124,7998.08,1.1427,0.95607,1.26617,0.93984,0.84163,0.94002,0.62249,1.18961,0.66692,1.4095,0.0007823,0.0007823,0.0007823
125,8062.38,1.12758,0.93508,1.24952,0.91758,0.8733,0.92986,0.61191,1.22852,0.65877,1.4438,0.0007724,0.0007724,0.0007724
126,8126.73,1.11599,0.91584,1.24442,0.88362,0.89328,0.93718,0.61004,1.22959,0.66169,1.44069,0.0007625,0.0007625,0.0007625
127,8191.18,1.12507,0.93455,1.26291,0.94548,0.84163,0.94075,0.6269,1.22687,0.69956,1.41765,0.0007526,0.0007526,0.0007526
128,8255.69,1.12004,0.92146,1.25352,0.89497,0.88688,0.93432,0.62781,1.21477,0.67482,1.40224,0.0007427,0.0007427,0.0007427
129,8320.17,1.11966,0.92801,1.247,0.92599,0.8552,0.92352,0.62158,1.19354,0.64943,1.39579,0.0007328,0.0007328,0.0007328
130,8384.61,1.11322,0.92807,1.24466,0.91769,0.85767,0.92971,0.61856,1.22242,0.68928,1.40841,0.0007229,0.0007229,0.0007229
131,8449.11,1.10649,0.90636,1.24206,0.91968,0.88073,0.94477,0.63266,1.21307,0.64285,1.4151,0.000713,0.000713,0.000713
132,8513.61,1.09668,0.89839,1.23729,0.91192,0.8901,0.94277,0.62587,1.20929,0.65965,1.42133,0.0007031,0.0007031,0.0007031
133,8577.78,1.1039,0.90175,1.23571,0.93062,0.84967,0.93192,0.62585,1.19562,0.66337,1.40538,0.0006932,0.0006932,0.0006932
134,8642.16,1.10299,0.90718,1.23347,0.92781,0.87231,0.94565,0.61542,1.20997,0.65743,1.42197,0.0006833,0.0006833,0.0006833
135,8706.73,1.09582,0.89962,1.23438,0.9208,0.86878,0.93791,0.63074,1.1933,0.66312,1.39024,0.0006734,0.0006734,0.0006734
