epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,15543.5,0.88117,0.71297,1.1372,0.91363,0.85195,0.93142,0.6403,1.11346,0.63746,1.37003,0.000249724,0.000249724,0.000249724
162,15626.6,0.88345,0.72727,1.14213,0.9067,0.84793,0.92814,0.64015,1.11622,0.65274,1.37069,0.000238785,0.000238785,0.000238785
163,15710.2,0.88469,0.74209,1.1493,0.90773,0.85834,0.9304,0.64684,1.10608,0.65448,1.35998,0.000227845,0.000227845,0.000227845
164,15794,0.87957,0.73657,1.14271,0.90784,0.85949,0.93477,0.63929,1.10798,0.64213,1.36279,0.000216906,0.000216906,0.000216906
165,15877.5,0.88062,0.72433,1.13626,0.90394,0.85261,0.92877,0.64285,1.10425,0.65081,1.37076,0.000205967,0.000205967,0.000205967
166,15959.9,0.86656,0.73615,1.14006,0.86632,0.86985,0.92838,0.64091,1.11084,0.64506,1.37676,0.000195028,0.000195028,0.000195028
167,16040.3,0.87046,0.71351,1.13558,0.8905,0.84595,0.92396,0.63594,1.11924,0.66723,1.37864,0.000184088,0.000184088,0.000184088
168,16120.4,0.86318,0.71499,1.13357,0.90376,0.83893,0.92622,0.63685,1.11749,0.66126,1.37806,0.000173149,0.000173149,0.000173149
169,16200.4,0.86622,0.71486,1.13934,0.90632,0.84564,0.92767,0.63837,1.12485,0.65709,1.38679,0.00016221,0.00016221,0.00016221
170,16280.6,0.87005,0.73011,1.14618,0.92827,0.82886,0.92906,0.64166,1.12142,0.64568,1.38753,0.000151271,0.000151271,0.000151271
171,16360.7,0.86914,0.71517,1.14647,0.91281,0.83893,0.93039,0.64443,1.1217,0.64076,1.38039,0.000140331,0.000140331,0.000140331
172,16462.4,0.809,0.56474,1.09754,0.92362,0.85212,0.93144,0.63991,1.13045,0.62736,1.37674,0.000129392,0.000129392,0.000129392
173,16542.4,0.79275,0.55485,1.08165,0.90776,0.8557,0.92841,0.63869,1.13653,0.62316,1.38535,0.000118453,0.000118453,0.000118453
174,16622.3,0.77249,0.52099,1.07428,0.93375,0.85137,0.92769,0.636,1.14313,0.6346,1.38623,0.000107514,0.000107514,0.000107514
175,16702.3,0.77219,0.52384,1.07349,0.93543,0.84228,0.92273,0.63399,1.14212,0.63476,1.38921,9.65746e-05,9.65746e-05,9.65746e-05
176,16782.3,0.77544,0.51728,1.09316,0.93123,0.84228,0.92142,0.63629,1.1337,0.63897,1.38459,8.56354e-05,8.56354e-05,8.56354e-05
177,16862.3,0.76385,0.52499,1.07579,0.92675,0.83557,0.91949,0.63406,1.1379,0.64374,1.38944,7.46961e-05,7.46961e-05,7.46961e-05
